rung,scenario_id,trial,verdict
R2,r-0307,3,1
R2,r-0308,1,1
R2,r-0308,2,1
R2,r-0308,3,0
R2,r-0309,1,1
R2,r-0309,2,1
R2,r-0309,3,1
R2,r-0310,1,1
R2,r-0310,2,1
R2,r-0310,3,1
R2,r-0311,1,1
R2,r-0311,2,0
R2,r-0311,3,0
R2,r-0312,1,1
R2,r-0312,2,1
R2,r-0312,3,0
R2,r-0313,1,1
R2,r-0313,2,1
R2,r-0313,3,1
R2,r-0314,1,0
R2,r-0314,2,0
R2,r-0314,3,1
R2,r-0315,1,1
R2,r-0315,2,0
R2,r-0315,3,1
R2,r-0316,1,1
R2,r-0316,2,1
R2,r-0316,3,1
R2,r-0317,1,0
R2,r-0317,2,1
R2,r-0317,3,0
R2,r-0318,1,1
R2,r-0318,2,1
R2,r-0318,3,1
R2,r-0319,1,1
R2,r-0319,2,1
R2,r-0319,3,0
R2,r-0320,1,1
R2,r-0320,2,0
R2,r-0320,3,1
R2,r-0321,1,0
R2,r-0321,2,0
R2,r-0321,3,0
R2,r-0322,1,1
R2,r-0322,2,1
R2,r-0322,3,1
R2,r-0323,1,1
R2,r-0323,2,1
R2,r-0323,3,1
R2,r-0324,1,1
R2,r-0324,2,1
R2,r-0324,3,0
R2,r-0325,1,1
R2,r-0325,2,1
R2,r-0325,3,1
R2,r-0326,1,0
R2,r-0326,2,1
R2,r-0326,3,1
R2,r-0327,1,0
R2,r-0327,2,0
R2,r-0327,3,0
R2,r-0328,1,1
R2,r-0328,2,1
R2,r-0328,3,1
R2,r-0329,1,0
R2,r-0329,2,1
R2,r-0329,3,1
R2,r-0330,1,1
R2,r-0330,2,1
R2,r-0330,3,0
R2,r-0331,1,0
R2,r-0331,2,0
R2,r-0331,3,1
R2,r-0332,1,0
R2,r-0332,2,1
R2,r-0332,3,1
R2,r-0333,1,1
R2,r-0333,2,0
R2,r-0333,3,1
R2,r-0334,1,1
R2,r-0334,2,1
R2,r-0334,3,0
R2,r-0335,1,1
R2,r-0335,2,1
R2,r-0335,3,1
R2,r-0336,1,1
R2,r-0336,2,0
R2,r-0336,3,1
R2,r-0337,1,1
R2,r-0337,2,1
R2,r-0337,3,0
R2,r-0338,1,1
R2,r-0338,2,1
R2,r-0338,3,1
R2,r-0339,1,0
R2,r-0339,2,1
R2,r-0339,3,1
R2,r-0340,1,1
R2,r-0340,2,0
R2,r-0340,3,1
R2,r-0341,1,1
R2,r-0341,2,1
R2,r-0341,3,1
R2,r-0342,1,0
R2,r-0342,2,0
R2,r-0342,3,1
R2,r-0343,1,1
R2,r-0343,2,1
R2,r-0343,3,0
R2,r-0344,1,1
R2,r-0344,2,1
R2,r-0344,3,1
R2,r-0345,1,0
R2,r-0345,2,1
R2,r-0345,3,1
R2,r-0346,1,0
R2,r-0346,2,0
R2,r-0346,3,1
R2,r-0347,1,1
R2,r-0347,2,1
R2,r-0347,3,1
R2,r-0348,1,1
R2,r-0348,2,1
R2,r-0348,3,1
R2,r-0349,1,1
R2,r-0349,2,1
R2,r-0349,3,1
R2,r-0350,1,1
R2,r-0350,2,0
R2,r-0350,3,1
R4,r-0201,1,0
R4,r-0201,2,0
R4,r-0201,3,0
R4,r-0202,1,0
R4,r-0202,2,1
R4,r-0202,3,0
R4,r-0203,1,1
R4,r-0203,2,1
R4,r-0203,3,1
R4,r-0204,1,0
R4,r-0204,2,0
R4,r-0204,3,0
R4,r-0205,1,0
R4,r-0205,2,0
R4,r-0205,3,0
R4,r-0206,1,0
R4,r-0206,2,0
R4,r-0206,3,0
R4,r-0207,1,0
R4,r-0207,2,1
R4,r-0207,3,0
R4,r-0208,1,0
R4,r-0208,2,0
R4,r-0208,3,0
R4,r-0209,1,0
R4,r-0209,2,0
R4,r-0209,3,0
R4,r-0210,1,0
R4,r-0210,2,1
R4,r-0210,3,0
R4,r-0211,1,0
R4,r-0211,2,0
R4,r-0211,3,0
R4,r-0212,1,0
R4,r-0212,2,0
R4,r-0212,3,0
R4,r-0213,1,0
R4,r-0213,2,0
R4,r-0213,3,0
R4,r-0214,1,0
R4,r-0214,2,0
R4,r-0214,3,0
R4,r-0215,1,0
R4,r-0215,2,0
R4,r-0215,3,0
R4,r-0216,1,0
R4,r-0216,2,0
R4,r-0216,3,0
R4,r-0217,1,0
R4,r-0217,2,0
R4,r-0217,3,1
R4,r-0218,1,1
R4,r-0218,2,0
R4,r-0218,3,1
R4,r-0219,1,1
R4,r-0219,2,0
R4,r-0219,3,0
R4,r-0220,1,0
R4,r-0220,2,0
R4,r-0220,3,0
R4,r-0221,1,0
R4,r-0221,2,0
R4,r-0221,3,0
R4,r-0222,1,0
R4,r-0222,2,0
R4,r-0222,3,1
R4,r-0223,1,0
R4,r-0223,2,0
